
Haapsalu Uuemõisa Konsum (valge) Tallinna maantee 84, Haapsalu
Rannarootsi Keskus Rannarootsi tee 1, Haapsalu
Haljala Grossi kpl Võsu mnt 5, Haljala
Kadrina Grossi kpl (valge) Viru 9, Kadrina
Kunda Grossi kpl (valge) Kasemäe 12, Kunda
Rakvere Kroonikeskus F. G. Adoffi 11, Rakvere
Rakvere Põhjakeskus Tõrremäe, Rakvere vald, Rakvere
Rakvere Vaala Keskus Lõõtspilli 2, Rakvere
Tapa Bussijaam Sauna 1, Tapa
Tapa Konsum Kalmistu 3, Tapa
Kilingi-Nõmme Konsum (valge) Pärnu 37, Kilingi-Nõmme
Paikuse Konsum Pärnade pst. 1, Paikuse
Pärnu Jaagupi kauplus (valge) Pärnu maantee 18, Pärnu-Jaagupi
Pärnu Kaubamajakas Papiniidu 8, Pärnu
Pärnu Keskus Aida 7, Pärnu
Pärnu Mai Selver Papiniidu 42, Pärnu
Pärnu Maksimarket Haapsalu mnt 43, Pärnu
Pärnu Maxima XXX Riia mnt 131, Pärnu
Pärnu Port Artur 2 Lai 11, Pärnu
Pärnu Turg (valge) Suur-Sepa 18, Pärnu
Pärnu Ülejõe Selver Tallinna mnt 93a, Pärnu
Sauga Konsum Kuldnoka 1, Sauga
Sindi Konsum (valge) Jaama 8, Sindi
Tammiste Konsum (valge) Kellukese tee 2, Tammiste
Vana Pärnu Selver ABC Haapsalu maantee 41, Pärnu
Vändra Konsum Pärnu-Paide mnt. 21, Vändra
Põlva Edu Keskus Aasa 1, Põlva
Põlva Selver (valge) Jaama 12, Põlva
Räpina Maxima Pargi 1, Räpina
Järvakandi Grossi kpl (valge) Turu 1, Järvakandi
Kohila Konsum Lõuna 2, Kohila
Märjamaa Konsum Pärnu mnt 62, Märjamaa
Rapla Maxima Tallinna mnt 50a, Rapla
Rapla Selver Tallinna maantee 4, Rapla
Auriga Keskus Tallinna 88, Kuressaare
Kuressaare Kihelkonna mini-Rimi Kihelkonna mnt. 3, Kuressaare
Kuressaare Saare Selver Tallinna 67, Kuressaare
Kuressaare Wow keskus (valge) Merikotka 1, Kuressaare
Orissaare bussijaam (valge) Kuivastu mnt 26a, Orissaare
Alatskivi Konsum (valge) Lossi 1a, Alatskivi
Elva Maxima Valga maantee 5, Elva
Elva mini-Rimi Kesk 7, Elva
Rõngu Konsum (valge) Tartu maantee 2, Rõngu
Tartu Aardla Selver Võru 77, Tartu
Tartu Anne Prisma Nõlvaku tee 2, Tartu
Tartu Anne Selver Kalda tee 43, Tartu
Tartu Eeden Kalda tee 1c, Tartu
Tartu Kaubamaja   -1 korrus Riia 1, Tartu
Tartu Kaubamaja 0 korrus Riia 1, Tartu
Tartu Kivilinna Konsum (valge) Jaama 173, Tartu
Tartu Kvartal Riia 2, Tartu
Tartu Lembitu Konsum Lembitu tn. 2, Tartu
Tartu Lõunakeskuse Rimi Ringtee 75, Tartu
Tartu Mõisavahe Konsum (valge) Mõisavahe 34c, Tartu
Tartu Raadi Grossi kpl (valge) Keskuse tee 2, Tila küla, Tartu
Tartu Raadi Maxima Narva mnt 112/Peetri 26B, Tartu
Tartu Raadimõisa Konsum (valge) Kaupmehe 2, Tartu
Tartu Raatuse Selver ABC (valge) Raatuse 20, Tartu
Tartu Rebase Rimi Rebase 10, Tartu
Tartu Ringtee Selver Aardla 114, Tartu
Tartu Saare Maxima Anne 57, Tartu
Tartu Sepa Rimi (valge) Sepa 21, Tartu
Tartu Sõbra Selver (valge) Sõbra 41, Tartu
Tartu Sõbrakeskus Võru 55F, Tartu
Tartu Tasku Turu 2, Tartu
Tartu Tuglase Rimi Friedebert Tuglase 19, Tartu
Tartu Ujula Konsum (valge) Ujula 2, Tartu
Tartu Vahi Selver Vahi 62, Tartu
Tartu Veeriku Selver Vitamiini 1, Tartu
Tõrvandi Konsum (valge) Müürsepa 1, Tõrvandi
Ülenurme Konsum Võru mnt. 2, Ülenurme
Otepää Maxima Valga mnt 1B, Otepää
Tõrva Maxima Tamme 2, Tõrva
Tõrva Tikste Konsum (valge) Viljandi 28, Tõrva
Valga Selver Raja 5, Valga
Valga Siili Konsum (valge) A. Neulandi 2 , Valga
Kohtla-Järve mini-Rimi (valge) Põhja allee 4, Kohtla-Järve
Mustla Konsum (valge) Posti 52a, Mustla
Viljandi Centrum Tallinna 24, Viljandi
Viljandi Maksimarket (valge) Lääne 2, Viljandi
Viljandi Männimäe Selver Riia mnt 35, Viljandi
Viljandi Turu Konsum Turu 16, Viljandi
Viljandi Uku keskus Tallinna tn. 41, Viljandi
Viljandi Vaksali Maxima (valge) Vaksali 11b, Viljandi
Võhma Meie pood (valge) Tallinna 28a, Võhma
Antsla Konsum (valge) Kreutzwaldi 4a, Antsla
Vastseliina Konsum (valge) Võidu 21, Vastseliina
Võru Kagukeskus Kooli 6, Võru
Võru Maksimarket (valge) Jüri 83, Võru
Võru Rimi Jüri 85, Võru
