 58.1260316,25.358787 
 34,9 
 59.3379836,27.4201844 
 34,9 
 59.144495,25.7513709 
 59.3705612,25.0781188 
 34,9 
 58.4077809,24.3559478 
 26.91667,87.91667 
 47.27541,8.4897 
 59.5129635,24.8200001 
 58.0784736,24.4983657 
 34,9 
 58.9402924,23.5422211 
 59.4337655,26.2666029 
 58.350774,26.789258 
 59.095002,27.3146208 
 34,9 
 58.7735158,24.8165591 
 34,9 
 38.5,-0.5 
 59.3577722,27.4171022 
 34,9 
 47.27541,8.4897 
 59.3579653,24.9121106 
 59.3537763,24.8924802 
 59.343778,26.1303924 
 58.8266465,22.772357 
 41.91667,9.16667 
 47.27541,8.4897 
 38.5,-0.5 
 47.27541,8.4897 
 59.3338876,25.3330567 
 34,9 
 26.66667,87.5 
 59.3105885,24.4325674 
 59.3067094,24.4019425 
 59.3057031,24.8403546 
 59.2342215,24.6902013 
 58.149447,24.953625 
 59.3564128,26.9752779 
 26.66667,87.5 
 58.962314,26.0249024 
 34,9 
 59.4024287,27.2846492 
 59.4065837,27.2906999 
 59.407228,27.2848929 
 59.3978709,27.285885 
 58.5340731,25.9430642 
 58.6234235,23.6328881 
 58.5801515,24.1493837 
 58.4192715,26.7611678 
 47.28167,8.45023 
 59.4281058,25.0947888 
 34,9 
 34,9 
 47.27541,8.4897 
 59.4496065,25.4328719 
 59.341346,24.6131528 
 34,9 
 41.66667,2 
 59.378141,24.238757 
 58.688593,23.8345575 
 26.66667,87.16667 
 59.4348523,24.9456225 
 58.5710915,23.9872426 
 26.58333,87.91667 
 34,9 
 47.28167,8.45023 
 26.91667,87.91667 
 58.9098825,24.4337396 
 58.6052509,23.2359589 
 59.4549145,24.4439803 
 26.91667,87.91667 
 47.27541,8.4897 
 59.3808561,28.1767378 
 34,9 
 26.91667,87.91667 
 34,9 
 59.385076,28.190345 
 59.3866893,28.1790554 
 34,9 
 59.459989831042044, 28.041683285276928 
 34,9 
 58.558738,23.0824358 
 58.0584907,26.4960599 
 36.875217,-84.849373 
 26.58333,87.91667 
 58.373644,24.6178266 
 36.98333,10.11667 
 41.66667,2 
 58.3955922,24.4580486 
 34,9 
 34,9 
 58.3744845,24.5369957 
 26.66667,87.16667 
 58.3884575,24.5057773 
 58.3800034,24.52712 
 34,9 
 58.4085004,24.4943758 
 34,9 
 59.3977913,24.805542 
 59.4023808,24.8109219 
 58.6540989,25.9806342 
 34,9 
 47.435544,-92.778663 
 58.06388920085198, 27.071081825486527 
 47.28167,8.45023 
