96315,Pärnu Oja Selver ABC pakiautomaat,Pärnu maakond,Pärnu linn,Pärnu linn,Lai tn 11,58.390403,24.530942
96062,Pärnu Port Artur 2 pakiautomaat,Pärnu maakond,Pärnu linn,Pärnu linn,Riia mnt 74,58.387448,24.504472
96197,Pärnu Tiina Coop Konsumi pakiautomaat,Pärnu maakond,Pärnu linn,Pärnu linn,Suur-Sepa tn 18,58.379842,24.527491
96198,Pärnu Turu pakiautomaat,Pärnu maakond,Pärnu linn,Pärnu linn,Uus tn 20a,58.381923,24.509748
96109,Pärnu-Jaagupi Grossi pakiautomaat,Pärnu maakond,Põhja-Pärnumaa vald,Pärnu-Jaagupi alev,Lao tn 14,58.609379,24.504647
96201,Põlva Meie Ostumarketi pakiautomaat,Põlva maakond,Põlva vald,Põlva linn,Jaama tn 12,58.066847,27.09252
96073,Põlva Selveri pakiautomaat,Põlva maakond,Põlva vald,Põlva linn,F. R. Faehlmanni tee 15,58.063698,27.071194
46335,Rakke postiautomaat,Lääne-Viru maakond,Väike-Maarja vald,Rakke alevik,Haljala tee 4,58.987667,26.241747
96078,Rakvere Põhjakeskuse pakiautomaat,Lääne-Viru maakond,Rakvere vald,Tõrremäe küla,Laada tn 18,59.364081,26.339553
96031,Rakvere Turutare pakiautomaat,Lääne-Viru maakond,Rakvere linn,Rakvere linn,Lõõtspilli tn 2,59.347187,26.364466
96167,Rakvere Vaala Keskuse pakiautomaat,Lääne-Viru maakond,Rakvere linn,Rakvere linn,Tallinna mnt 16,59.354905,26.383605
96220,Rapla Vestis Coop Konsumi pakiautomaat,Rapla maakond,Rapla vald,Rapla linn,Pargi põik 1,59.005183,24.793198
96095,Räpina Maxima X pakiautomaat,Põlva maakond,Räpina vald,Räpina linn,Raekoja tn 1,58.096083,27.451331
96199,Saaremaa Kaubamaja pakiautomaat,Saare maakond,Saaremaa vald,Kuressaare linn,Pargi tn 2,58.251784,22.485453
96050,Saku Coop Konsumi pakiautomaat,Harju maakond,Saku vald,Saku alevik,Üksnurme tee 2,59.300088,24.662315
96301,Saku Selveri pakiautomaat,Harju maakond,Saku vald,Saku alevik,Rannapargi tee 4,59.293669,24.656249
96318,Salme Rannapargi tee pakiautomaat,Saare maakond,Saaremaa vald,Salme alevik,Ridva tn 15,58.163316,22.254761
96055,Saue Kaubakeskuse pakiautomaat,Harju maakond,Saue vald,Saue linn,Viru pst 5a,59.324906,24.552558
96054,Sillamäe Coop Maksimarketi pakiautomaat,Ida-Viru maakond,Sillamäe linn,Sillamäe linn,Viru pst 35,59.391665,27.777892
96222,Sillamäe Viru pst Maxima X pakiautomaat,Ida-Viru maakond,Silalmäe linn,Sillamäe linn,Erika tn 14,59.3912,27.790681
96133,Tallinna Arsenali Keskuse pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Toompuiestee 37,59.451157,24.718214
96001,Tallinna Balti Jaama pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Hobujaama tn 5,59.439673,24.736745
96219,Tallinna Coca-Cola Plaza pakiautomaat,Harju maakond,Tallinn,Kesklinna linnaosa,Ehitajate tee 41,59.438277,24.756419
96216,Tallinna Ehitajate tee Grossi pakiautomaat,Harju maakond,Tallinn,Mustamäe linnaosa,Ehitajate tee 148,59.401768,24.668583
96303,Tallinna Ehitajate tee Maxima XXX pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Haabersti tn 1,59.420973,24.651157
96111,Tallinna Haabersti Rimi pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Punane tn 16,59.424517,24.644102
96202,Tallinna Idakeskuse pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Juhkentali tn 35,59.432134,24.824641
96195,Tallinna Juhkentali Rimi pakiautomaat,Harju maakond,Tallinn,Kesklinna linnaosa,Pärnu mnt 238,59.427553,24.77004
96016,Tallinna Järve Keskuse pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Järveotsa tee 35b,59.393138,24.721088
96138,Tallinna Järveotsa Grossi pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Kadaka tee 56a,59.407278,24.640639
96018,Tallinna Kadaka Selveri pakiautomaat,Harju maakond,Tallinn,Mustamäe linnaosa,Rannamõisa tee 6,59.412235,24.666952
96015,Tallinna Kakumäe Selveri pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Kari tn 3,59.428507,24.626459
96237,Tallinna Kari Grossipoe pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Kivila tn 26,59.447718,24.697859
96190,Tallinna Kivila Grossi pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Sõle tn 27,59.443612,24.873086
96069,Tallinna Kolde Rimi pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Õismäe tee 107,59.438651,24.707627
96226,Tallinna Kollase keskuse pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Endla tn 45,59.411428,24.637067
96007,Tallinna Kristiine Keskuse pakiautomaat,Harju maakond,Tallinn,Kristiine linnaosa,K. Kärberi tn 20,59.425773,24.725468
96162,Tallinna Kärberi Keskuse pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Mustakivi tee 13,59.445338,24.88232
96135,Tallinna Lasnamäe Centrumi A pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Mustakivi tee 13,59.44097,24.864429
96041,Tallinna Lasnamäe Centrumi B pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Mustakivi tee 17,59.440746,24.863056
96066,Tallinna Lasnamäe Prisma pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Lastekodu tn 14,59.442965,24.863035
96180,Tallinna Lastekodu Grossi pakiautomaat,Harju maakond,Tallinn,Kesklinna linnaosa,Linnamäe tee 57,59.430303,24.768011
96116,Tallinna Linnamäe Maxima XXX pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Läänemere tee 2c,59.450026,24.880353
96194,Tallinna Läänemere Rimi pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Läänemere tee 28,59.450896,24.861733
96173,Tallinna Läänemere Selveri pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Pärnu mnt 106,59.452802,24.874879
96086,Tallinna Magdaleena pakiautomaat,Harju maakond,Tallinn,Kesklinna linnaosa,Sõpruse pst 201,59.414992,24.739149
96056,Tallinna Magistrali Keskuse pakiautomaat,Harju maakond,Tallinn,Mustamäe linnaosa,Mustamäe tee 16,59.401372,24.697046
96098,Tallinna Marienthali keskuse pakiautomaat,Harju maakond,Tallinn,Kristiine linnaosa,Paldiski mnt 56,59.422699,24.697158
96129,Tallinna Merimetsa Selveri pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Mahtra tn 1,59.430016,24.697194
96010,Tallinna Mustakivi Keskuse pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,A. H. Tammsaare tee 104a,59.442406,24.874044
96141,Tallinna Mustamäe Keskuse pakiautomaat,Harju maakond,Tallinn,Mustamäe linnaosa,Karjavälja tn 4,59.408292,24.689152
96115,Tallinna Mustika Keskuse pakiautomaat,Harju maakond,Tallinn,Mustamäe linnaosa,Männiku tee 100,59.41028,24.682702
96236,Tallinna Männiku Rimi pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Ahtri tn 9,59.372145,24.716576
96174,Tallinna Nautica Keskuse pakiautomaat,Harju maakond,Tallinn,Kesklinna linnaosa,Ehitajate tee 107,59.441344,24.762454
96004,Tallinna Nurmenuku pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Nõmme tee 23,59.414396,24.654758
96327,Tallinna Nõmme tee 23 Maxima X pakiautomaat,Harju maakond,Tallinn,Kristiine linnaosa,Turu plats 8,59.417796,24.72136
96101,Tallinna Nõmme turu pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Paasiku tn 2a,59.388861,24.683427
96193,Tallinna Paasiku Grossi pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Paepargi tn 57,59.448399,24.845112
96131,Tallinna Paepargi Maxima XX pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Pallasti tn 28,59.43516,24.811635
96146,Tallinna Pallasti pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Sõle tn 51,59.430188,24.79225
96017,Tallinna Pelgulinna Selveri pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Merivälja tee 24,59.444612,24.700754
96205,Tallinna Pirita Keskuse pakiautomaat,Harju maakond,Tallinn,Pirita linnaosa,Rummu tee 4,59.468699,24.835387
96012,Tallinna Pirita Selveri pakiautomaat,Harju maakond,Tallinn,Pirita linnaosa,Punane tn 46,59.462298,24.827687
96083,Tallinna Punase Selveri pakiautomaat,Harju maakond,Tallinn,Lasnamäe linnaosa,Pärnu mnt 390,59.43501,24.840675
96304,Tallinna Pärnu mnt 390b Maxima X pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Pärnu mnt 453e,59.380491,24.659324
96008,Tallinna Pääsküla RIMI pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Põhja pst 17a,59.360991,24.630545
96181,Tallinna Põhja pst Neste pakiautomaat,Harju maakond,Tallinn,Põhja-Tallinna linnaosa,Viljandi mnt 41a,59.444468,24.743526
96084,Tallinna Raudalu Coop Konsumi pakiautomaat,Harju maakond,Tallinn,Nõmme linnaosa,Paldiski mnt 102,59.366249,24.759516
96005,Tallinna Rocca al Mare pakiautomaat,Harju maakond,Tallinn,Haabersti linnaosa,Tartu mnt 87b,59.426429,24.653359
