Kuressaare Kihelkonna mini-Rimi,Kuressaare,Kihelkonna mnt. 3,93810,toidupoe kassade vastas,58.264224,22.476001
Pärnu Maxima XXX,Pärnu,Riia mnt 131,80011,Popshop kaupluse vastas,58.374639,24.537342
Tallinna Kaubamaja,Tallinn,Gonsiori 2,10143,Laikmaa tänava sissepääsu juures 1.  korrusel,59.435436,24.756693
Maardu Maxima,Maardu,Keemikute 2,74116,1. korrusel kassade vastas,59.473424,25.018496
Viljandi Uku keskus,Viljandi,Tallinna tn. 41,71020,1. korrusel Apollo raamatupoe kõrval,58.369981,25.597795
Tartu Raadi Maxima,Tartu,Narva mnt 112/Peetri 26B,50303,1. korrusel apteegi kõrval,58.391867,26.727928
Tallinna Magistrali Keskus,Tallinn,Sõpruse pst 201/203,13419,0. korrusel sissepääsu juures,59.402373,24.697257
Tartu Lembitu Konsum,Tartu,Lembitu tn. 2,50406,1. korrusel kassade kõrval,58.3696914,26.7105768
Haapsalu Rimi,Haapsalu,Jaama 32,90507,1. korrusel peasissepääsu juures,58.9390157,23.5404264
Võru Rimi,Võru,Jüri 85,65607,Peetri Pizza kõrval,57.8344962,27.0101502
Tartu Ringtee Selver,Tartu,Aardla 114,50415,1. korrusel koridori lõpus kassade vastas,58.3532475,26.6860965
Tartu Anne Prisma,Tartu,Nõlvaku tee 2,50708,1. korrusel eskalaatori kõrval,58.376902,26.7789076
Tartu Aardla Selver,Tartu,Võru 77,50112,1. korrusel kellassepa ja lillepoe vahel,58.357113,26.7203225
Pärnu Maksimarket,Pärnu,Haapsalu mnt 43,88300,1. korrusel peaukse juures,58.395588,24.4580709
Raudalu Konsum,Tallinn,Viljandi mnt. 41a,11218,1. korrusel koridori lõpus Peetri Pizza vastas,59.3660825,24.7594534
Tallinna Läänemere Selver,Tallinn,Läänemere tee 28,13913,1. korrusel Apotheka apteegi kõrval,59.4528865,24.8756193
Tartu Kaubamaja 0 korrus,Tartu,Riia 1,51004,0. korruse liftitamburis,58.377769,26.7278297
Saue Maxima,Saue,Ladva 1a,76506,1. korrusel kassade vastas,59.3241357,24.5478683
Muuga Maxima,Tallinn,Altmetsa 1,74117,1. korrusel kassade vastas,59.4738638,24.9159885
Peetri Selver,Tallinn,Veesaare tee 2,75312,Selverisse sissepääsu juures Kika loomapoe kõrval,59.40191,24.811021
Tabasalu Rimi,Tabasalu,Klooga mnt 10b,76901,1. korrusel Pitsapoiste kõrval,59.429977,24.5436835
Narva Prisma,Narva,Kangelaste prospekt 29,20607,1. korrusel kassade kõrval,59.3864948,28.1771884
Paide Maksimarket,Paide,Ringtee 2,72720,1. korrusel,58.8867063,25.5400092
Jüri Konsum,Jüri,Aruküla tee 29,75301,1. korrusel kassade vastas,59.3582506,24.9128961
Jõhvi Grossi kpl,Jõhvi,Tartu mnt 15a,41538,1. korrusel kassade vastas,59.353416,27.41161
Tallinna Kadaka Selver,Tallinn,Kadaka tee 56A,12915,1. korrusel infoleti kõrval,59.4125374,24.6669259
Tallinna Ülemiste keskus,Tallinn,Suur-Sõjamäe 4,11415,1.k Ülemiste jaama poolse eskalaatori vastas,59.4227,24.79166
