Liiva küla,Muhu,94701,Saaremaa,Muhu Liiva Konsum,58.6052358,23.2366791
Lee tee 1,Muraste,76905,Harjumaa,Muraste Konsum,59.4549145,24.4439803
Posti 52a,Mustla,69701,Viljandimaa,Mustla Konsum,58.2351775,25.8654565
Tähe 9,Mustvee,49603,Jõgevamaa,Mustvee Grossi kauplus,58.8493,26.9451615
Kasti tee 1/3,Märjamaa,78302,Raplamaa,Märjamaa Maxima X,58.9076898,24.4359577
Tallinna mnt 41,Narva,20605,Ida-Virumaa,Narva Astri keskus,59.3808561,28.1767378
Kangelaste prospekt 29,Narva,20607,Ida-Virumaa,Narva Kangelaste Prisma,59.3866893,28.1790554
Kreenholmi 52,Narva,20104,Ida-Virumaa,Narva Kreenholmi Maxima XX,59.3641792,28.186764
Tiimanni 20,Narva,21004,Ida-Virumaa,Narva Tiimanni Maxima,59.25,27.41667
Pähklimäe 6,Narva,20605,Ida-Virumaa,Narva Pähklimäe 6a Grossi kaubad,59.3872116,28.1674168
Rakvere 71,Narva,20607,Ida-Virumaa,Narva Megamarket,59.3855222,28.1842282
Fama Põik 10,Narva,20303,Ida-Virumaa,Narva Fama keskus,59.3785035,28.1892804
J. Poska 26,Narva -Jõesuu,29023,Ida-Virumaa,Narva-Jõesuu Konsum,59.25,27.41667
Tartu 3a,Nõo,61601,Tartumaa,Nõo Konsum,58.2772769,26.5362665
Kuivastu mnt 28,Orissaare,94601,Saaremaakond,Orissaare Konsum,58.558738,23.0824358
Valga maantee 1b,Otepää,67403,Valgamaa,Otepää Maxima X,58.0587928,26.4973204
Keskväljak 15,Paide,72711,Järvamaa,Paide Konsum,58.8868313,25.569118
Pärnade pst 1,Paikuse,86602,Pärnumaa,Paikuse Konsum,58.373644,24.6178266
Sadama 13,Paldiski,76805,Harjumaa,Paldiski Konsum,59.3518405,24.0514994
Küti tee 4,Peetri,75312,Harjumaa,Peetri Keskus,59.3977913,24.805542
Veesaare 2,Peetri,75312,Harjumaa,Peetri Selver,59.4023808,24.8109219
Nooruse 2,Puhja,61301,Tartumaa,Puhja Konsum,58.3351365,26.3102525
Tallinna mnt 2,Puurmani,49014,Jõgevamaa,Puurmani Tallinna mnt 2,58.5768465,26.2893528
Kesk 2,Põltsamaa,48105,Jõgevamaa,Põltsamaa Konsum,58.6539145,25.9779105
Jaama 12,Põlva,63303,Põlvamaa,Põlva Selver,58.0638185,27.0710459
Võru mnt 10,Rõuge,66210,Võrumaa,Rõuge A ja O,57.7292343,26.9174406
Papiniidu 8,Pärnu,80010,Pärnumaa,Pärnu Kaubamajakas,58.3700317,24.5507706
Lai 5,Pärnu,80010,Pärnumaa,Pärnu Keskus,58.3873675,24.5013806
Haapsalu mnt 43,Pärnu,88317,Pärnumaa,Pärnu Maksimarket,58.3955922,24.4580486
Riia maantee 131,Pärnu,80042,Pärnumaa,Pärnu Maxima XXX,58.3587514,24.5724847
Tallinna mnt 93a,Pärnu,80041,Pärnumaa,Pärnu Ülejõe Selver,58.4085004,24.4943758
Uus 20a,Pärnu-Jaagupi,87201,Pärnumaa,Pärnu-Jaagupi Grossi kauplus,58.6091421,24.505032
Pärnamäe tee 4a,Pärnamäe,74008,Harjumaa,Pärnamäe Keskus,59.5025416,24.8678366
